GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user_management_service,com.bit.usermanagementservice.config,AdminInitializationConfig,4,172,2,8,3,43,3,11,1,8
user_management_service,com.bit.usermanagementservice.config,RoleInitializationConfig,3,63,0,4,2,12,1,5,1,3
user_management_service,com.bit.usermanagementservice.exceptions.useralreadydeleted,UserAlreadyDeletedException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.exceptions.useralreadyactive,UserAlreadyActiveException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.utils,PasswordGenerator,0,79,0,2,0,18,0,6,0,5
user_management_service,com.bit.usermanagementservice.utils,UserCodeGenerator,0,95,1,7,0,23,1,8,0,4
user_management_service,com.bit.usermanagementservice.utils,CredentialsProducer,0,54,0,0,0,14,0,6,0,6
user_management_service,com.bit.usermanagementservice.service.serviceimpl,UserServiceImpl,7,838,7,23,1,200,7,46,0,38
user_management_service,com.bit.usermanagementservice.service.serviceimpl,EmailServiceImpl,5,117,0,0,2,30,0,7,0,7
user_management_service,com.bit.usermanagementservice.exceptions.usernotfound,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.exceptions.useralreadyexists,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.exceptions.invalidname,InvalidNameException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.validators,EmailValidator,0,30,0,2,0,9,0,4,0,3
user_management_service,com.bit.usermanagementservice.validators,NameValidator,0,76,1,13,0,18,1,11,0,5
user_management_service,com.bit.usermanagementservice.controller,AdminController,0,62,0,0,0,12,0,8,0,8
user_management_service,com.bit.usermanagementservice.exceptions.rolenotfound,RoleNotFoundException,0,4,0,0,0,2,0,1,0,1
user_management_service,com.bit.usermanagementservice.exceptions.invalidemail,InvalidEmailException,0,4,0,0,0,2,0,1,0,1
